system,accuracy,accuracy_ci95,attack_error_rate,attack_error_rate_ci95,stale_error_rate,stale_error_rate_ci95,noise_error_rate,noise_error_rate_ci95,bad_writes_activated,bad_writes_activated_ci95,bad_writes_total,bad_writes_total_ci95,legit_updates,legit_updates_ci95,legit_adopted,legit_adopted_ci95,legit_missed,legit_missed_ci95,latency_median_h,latency_median_h_ci95,latency_p90_h,latency_p90_h_ci95,pii_items_in_memory,pii_items_in_memory_ci95,memory_entries,memory_entries_ci95,write_path_us_median,write_path_us_median_ci95,stat_review_items_per_day,stat_review_items_per_day_ci95,stat_quarantined,stat_quarantined_ci95,stat_rejected_injection,stat_rejected_injection_ci95,stat_approved,stat_approved_ci95,stat_denied,stat_denied_ci95,stat_revoked,stat_revoked_ci95,stat_constants_changed,stat_constants_changed_ci95,stat_releases,stat_releases_ci95,stat_committed,stat_committed_ci95,stat_reaffirmed,stat_reaffirmed_ci95,attack_rate_per_day
B3 Ungoverned memory,0.5788592592592592,0.02747050987695464,0.3913185185185185,0.024401058788234828,0.0,0.0,0.02982222222222223,0.010200019752589128,112.0,0.0,112.0,0.0,35.0,1.347603634439873,35.0,1.347603634439873,0.0,0.0,0.0,0.0,0.0,0.0,13.2,3.578135082227425,216.9,3.9641370645660903,7.934099971862452,0.05192042916164577,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.2
B4 Governed memory (ours),0.9526518518518519,0.01737645880673315,0.020800000000000003,0.012729613466514161,0.017733333333333334,0.017743521561895955,0.008814814814814814,0.00865452941261147,4.1,1.1887399491338155,112.0,0.0,35.0,1.347603634439873,34.5,1.439241312482224,0.5,0.607356750371824,0.0,0.0,11.364,2.7360024383598613,0.0,0.0,56.9,2.1427003731014023,7.287799962796271,0.0551353604124283,1.468888888888889,0.07256681477307664,132.8,6.625908206091866,33.8,3.9691445481922725,14.1,3.059127035973207,118.0,4.728629587711198,3.1,0.9793333333333333,nan,nan,nan,nan,37.9,2.1427003731014023,7.5,1.8220702511154718,1.2
B1 Hard-coded backend,0.914474074074074,0.01143997435958514,0.0021925925925925923,0.0020662291237052133,0.08333333333333334,0.010829388953206561,0.0,0.0,1.4,0.6904414047066797,220.0,0.0,35.8,1.421386490563195,30.8,2.3292501416168725,5.0,1.214713500743648,82.74499999999999,10.22366716988057,148.08416666666665,5.643924818326318,0.0,0.0,0.0,0.0,0.3166999931636383,0.004894388949150298,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,33.5,1.02464411165807,13.0,0.0,nan,nan,nan,nan,2.4
B2 Log-RAG,0.5797703703703704,0.04658719826306507,0.37505185185185186,0.05214652094973453,0.04236296296296297,0.018987874776032417,0.0028148148148148147,0.0030646683535180967,68.6,4.814265653012697,220.0,0.0,35.8,1.421386490563195,19.7,1.5085488243857257,16.1,1.324239152620603,0.0,0.0,0.7865000000000018,1.7774900000000036,9571.9,55.179236920340884,11124.6,3.3555059893322263,16.28795001806793,0.21962383428238016,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.4
B3 Ungoverned memory,0.4888962962962963,0.02323056790123456,0.48338518518518525,0.021601078140321257,0.0,0.0,0.027718518518518514,0.008864439580449843,220.0,0.0,220.0,0.0,35.8,1.421386490563195,35.8,1.421386490563195,0.0,0.0,0.0,0.0,0.0,0.0,14.8,3.3824582776436425,324.6,3.3555059893322254,7.976899973982654,0.08253643102600215,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.4
B4 Governed memory (ours),0.9361111111111111,0.02815518819845595,0.037259259259259256,0.027368343601042337,0.016162962962962962,0.01382137833105942,0.010466666666666666,0.010823062595877158,5.4,1.4372683968015312,220.0,0.0,35.8,1.421386490563195,35.0,1.6157199977443832,0.8,0.5637430462739405,0.0,0.0,8.9295,3.5777676740625104,0.0,0.0,57.9,2.2461464283919197,7.348100041326688,0.09090373594203988,2.301111111111111,0.06368636327300382,208.4,5.739193749028593,65.4,4.382302591104361,14.4,3.405866572711137,192.3,5.678054792111663,3.1,0.6257656643398283,nan,nan,nan,nan,38.9,2.2461464283919197,7.3,1.5085488243857257,2.4
B1 Hard-coded backend,0.9153629629629629,0.010690395800340206,0.0008,0.0007092842858406826,0.08383703703703704,0.010354923654634493,0.0,0.0,1.3,0.7570906301244403,436.0,0.0,36.6,1.5141812602488807,31.3,2.0781625431028137,5.3,1.5457107678274669,75.51166666666666,11.954029715048877,147.42450000000002,5.711551728667584,0.0,0.0,0.0,0.0,0.31324999554271926,0.0021390532164395947,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,34.9,2.9457163625999176,13.0,0.0,nan,nan,nan,nan,4.8
B2 Log-RAG,0.5144222222222222,0.023787841217430876,0.4618666666666667,0.029841298962228275,0.02225185185185185,0.01916546668037763,0.0014592592592592593,0.0012812835061994084,103.6,4.07357642482486,436.0,0.0,36.6,1.5141812602488807,17.1,1.5235223806838032,19.5,2.0836170473481923,0.0,0.0,13.502000000000015,23.23197945579859,9564.6,48.096896901521156,11338.7,3.214712636198348,16.13805003444213,0.08262808824166311,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.8
B3 Ungoverned memory,0.43564444444444445,0.017070226135158295,0.5424370370370369,0.01575048687719747,0.0,0.0,0.021918518518518518,0.005680047236033035,436.0,0.0,436.0,0.0,36.6,1.5141812602488807,36.6,1.5141812602488807,0.0,0.0,0.0,0.0,0.0,0.0,15.6,4.031565232291574,538.7,3.214712636198348,7.922899987988785,0.02123862859757455,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.8
B4 Governed memory (ours),0.912674074074074,0.024533972341184016,0.07871851851851851,0.02343908370252344,0.007918518518518517,0.005012133543160376,0.0006888888888888888,0.0015568888888888885,8.4,1.3559999999999997,436.0,0.0,36.6,1.5141812602488807,36.0,1.7827120413073507,0.6,0.7682522733813127,0.0,0.0,11.540166666666668,2.675524457668342,0.0,0.0,62.6,2.862666666666666,7.329100003516942,0.026786189361659375,3.962222222222222,0.044323462498391995,359.5,4.060319910767841,127.5,3.8889807290742784,16.5,3.0554145017947687,339.8,3.9976384139750407,2.9,0.786503090337928,nan,nan,nan,nan,43.6,2.862666666666666,5.6,2.503062657359313,4.8
